game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
AlphaBeta (baseline)__vs__AlphaBeta+__seed4150006__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.475323,3.958178,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed5160005__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.292092,3.767624,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed5160006__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.418214,3.945534,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed6170005__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.200888,3.761395,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed6170006__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.556050,3.966468,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed7180005__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.251717,3.761111,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed7180006__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.533529,3.973034,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed8190005__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.192523,3.767218,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed8190006__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.454304,3.931781,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed9200005__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.274225,3.765240,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta+__seed9200006__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.401843,3.953653,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta++__seed1010001__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.210145,3.770831,5,5,180,141,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta++__seed1010002__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",2.479912,3.970099,4,5,135,191,0,0,0,0,1,0
AlphaBeta (baseline)__vs__AlphaBeta++__seed2020001__Astart,,A,B,victory,10,"0,0,CIRCLE | 1,2,CIRCLE | 2,1,SQUARE | 3,3,SQUARE",2.290521,3.766289,5,5,180,141,0,0,0,0,1,0
