game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
MCTS (baseline)__vs__MCTS+__seed9090003__Astart,,A,B,victory,8,"3,1,DIAMOND | 3,3,TRIANGLE | 0,1,DIAMOND | 1,2,SQUARE",2.400650,3.608867,4,4,151,149,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed9090004__Bstart,,B,B,victory,9,"1,3,TRIANGLE | 0,3,SQUARE | 2,2,DIAMOND | 3,1,SQUARE",2.400474,4.801226,4,5,124,186,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed1120003__Astart,,A,B,victory,4,"0,2,TRIANGLE | 0,0,CIRCLE | 0,1,SQUARE | 0,3,DIAMOND",1.200653,1.200437,2,2,114,95,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed1120004__Bstart,,B,B,victory,11,"0,0,DIAMOND | 3,2,SQUARE | 3,1,CIRCLE | 0,1,SQUARE",3.000752,6.000673,5,6,115,191,1,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed2130003__Astart,,A,B,victory,8,"3,2,CIRCLE | 3,3,DIAMOND | 0,0,CIRCLE | 2,1,SQUARE",2.400986,3.601232,4,4,151,143,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed2130004__Bstart,,B,B,victory,9,"3,3,TRIANGLE | 0,0,DIAMOND | 2,1,CIRCLE | 3,2,DIAMOND",2.400368,4.801837,4,5,123,185,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed3140003__Astart,,A,B,no_move,12,"2,0,TRIANGLE | 2,1,DIAMOND | 0,3,TRIANGLE | 3,2,SQUARE",3.600317,7.200678,6,6,159,138,1,0,0,0,0,0
MCTS (baseline)__vs__MCTS+__seed3140004__Bstart,,B,B,victory,13,"3,1,TRIANGLE | 2,2,TRIANGLE | 0,3,CIRCLE | 0,0,DIAMOND",3.600606,7.201358,6,7,129,188,1,1,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed4150003__Astart,,A,B,victory,12,"3,2,CIRCLE | 3,3,SQUARE | 1,1,CIRCLE | 2,0,DIAMOND",3.600455,6.000890,6,6,162,152,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed4150004__Bstart,,B,B,victory,9,"2,3,TRIANGLE | 3,3,DIAMOND | 0,2,CIRCLE | 1,2,TRIANGLE",2.401052,4.804014,4,5,128,192,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed5160003__Astart,,A,B,victory,8,"2,1,TRIANGLE | 3,0,CIRCLE | 3,2,TRIANGLE | 0,1,SQUARE",2.401257,3.601881,4,4,154,152,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed5160004__Bstart,,B,A,victory,10,"2,3,DIAMOND | 1,1,DIAMOND | 0,2,SQUARE | 1,0,SQUARE",3.000883,6.002033,5,5,143,180,0,0,0,0,0,1
MCTS (baseline)__vs__MCTS+__seed6170003__Astart,,A,B,victory,8,"1,3,SQUARE | 0,0,TRIANGLE | 2,3,CIRCLE | 1,2,DIAMOND",2.401502,3.600927,4,4,163,134,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed6170004__Bstart,,B,B,victory,7,"1,0,CIRCLE | 0,2,SQUARE | 0,3,DIAMOND | 2,0,SQUARE",1.800792,3.601155,3,4,111,178,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed7180003__Astart,,A,B,victory,8,"2,3,SQUARE | 0,3,DIAMOND | 1,1,DIAMOND | 3,0,TRIANGLE",2.400771,3.601200,4,4,165,141,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed7180004__Bstart,,B,B,victory,7,"1,0,CIRCLE | 3,1,TRIANGLE | 0,2,TRIANGLE | 2,0,SQUARE",1.800486,3.601685,3,4,117,178,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed8190003__Astart,,A,B,victory,8,"1,0,CIRCLE | 2,1,SQUARE | 3,1,DIAMOND | 0,0,TRIANGLE",2.400810,3.601143,4,4,164,139,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed8190004__Bstart,,B,B,victory,7,"3,1,CIRCLE | 2,2,TRIANGLE | 2,3,DIAMOND | 1,1,TRIANGLE",1.800313,3.600749,3,4,111,177,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed9200003__Astart,,A,B,victory,6,"0,2,SQUARE | 2,3,TRIANGLE | 3,2,CIRCLE | 1,2,DIAMOND",1.800560,2.401577,3,3,150,125,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed9200004__Bstart,,B,B,victory,9,"3,3,SQUARE | 1,0,TRIANGLE | 2,1,CIRCLE | 3,2,TRIANGLE",2.400358,4.801770,4,5,123,185,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed1010005__Astart,,A,B,no_move,10,"2,2,DIAMOND | 1,0,DIAMOND | 0,0,SQUARE | 3,1,CIRCLE",3.000349,6.000661,5,5,172,136,0,0,0,0,0,0
