game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
Génétique (éval AB)__vs__Génétique (éval AB)+__seed7070004__Bstart,,B,A,victory,8,"0,1,CIRCLE | 2,2,CIRCLE | 2,0,SQUARE | 0,3,SQUARE",10.112810,2.470702,4,4,136,175,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed8080003__Astart,,A,A,victory,9,"3,3,DIAMOND | 1,2,SQUARE | 2,1,CIRCLE | 3,1,TRIANGLE",4.925359,3.724283,5,4,187,134,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed8080004__Bstart,,B,B,victory,9,"0,0,TRIANGLE | 2,2,DIAMOND | 2,1,CIRCLE | 3,1,TRIANGLE",8.795447,2.594968,4,5,133,184,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed9090003__Astart,,A,A,victory,7,"3,2,DIAMOND | 1,1,TRIANGLE | 2,1,SQUARE | 2,2,CIRCLE",4.821952,2.484405,4,3,179,121,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed9090004__Bstart,,B,B,victory,11,"2,1,TRIANGLE | 1,2,TRIANGLE | 0,3,CIRCLE | 1,1,CIRCLE",10.295239,2.958726,5,6,142,217,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed1120003__Astart,,A,A,victory,9,"2,2,SQUARE | 1,1,SQUARE | 3,0,CIRCLE | 0,2,CIRCLE",6.811150,3.699710,5,4,185,138,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed1120004__Bstart,,B,B,victory,9,"2,1,SQUARE | 1,2,TRIANGLE | 1,0,CIRCLE | 2,3,CIRCLE",10.116985,2.648306,4,5,135,186,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed2130003__Astart,,A,A,victory,7,"3,3,SQUARE | 1,2,TRIANGLE | 2,1,TRIANGLE | 3,1,CIRCLE",4.491656,2.559775,4,3,177,120,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed2130004__Bstart,,B,B,victory,9,"3,2,TRIANGLE | 1,1,TRIANGLE | 0,0,DIAMOND | 2,2,DIAMOND",7.706421,2.592715,4,5,133,194,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed3140003__Astart,,A,B,victory,8,"2,1,DIAMOND | 2,2,SQUARE | 1,2,TRIANGLE | 0,3,CIRCLE",5.375514,3.755383,4,4,176,142,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed3140004__Bstart,,B,A,victory,14,"0,2,TRIANGLE | 2,1,TRIANGLE | 1,1,SQUARE | 2,2,SQUARE",9.565540,2.880470,7,7,149,207,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed4150003__Astart,,A,A,victory,9,"2,1,SQUARE | 3,3,TRIANGLE | 1,2,CIRCLE | 1,1,DIAMOND",5.842811,3.902906,5,4,184,135,0,0,0,0,0,1
