game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3030006__Bstart,,B,A,victory,10,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",2.836464,4.888255,5,5,154,185,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4040005__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.964291,3.557165,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4040006__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",3.045640,4.534688,4,4,141,172,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed5050005__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.958652,3.553690,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed5050006__Bstart,,B,A,victory,8,"1,1,CIRCLE | 2,2,CIRCLE | 1,2,SQUARE | 0,3,TRIANGLE",3.072718,4.525320,4,4,141,172,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed6060005__Astart,,A,A,victory,15,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 2,1,SQUARE",3.945610,5.518548,8,7,199,156,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed6060006__Bstart,,B,A,victory,10,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",2.841560,4.889355,5,5,154,185,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed7070005__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.963513,3.565661,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed7070006__Bstart,,B,A,victory,8,"1,1,CIRCLE | 2,2,CIRCLE | 1,2,SQUARE | 0,3,TRIANGLE",3.071648,4.524673,4,4,141,172,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed8080005__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.960194,3.560413,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed8080006__Bstart,,B,A,victory,10,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",2.840566,4.889724,5,5,154,185,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed9090005__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.963532,3.564500,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed9090006__Bstart,,B,A,victory,10,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",2.853428,4.898307,5,5,154,185,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1120005__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.967233,3.565597,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1120006__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",2.833456,4.295513,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2130005__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.965640,3.565066,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2130006__Bstart,,B,A,victory,10,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",2.840887,4.889694,5,5,154,185,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3140005__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.960784,3.565904,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3140006__Bstart,,B,A,victory,8,"1,1,CIRCLE | 2,2,CIRCLE | 1,2,SQUARE | 0,3,TRIANGLE",2.842800,4.295871,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4150005__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.960720,3.568602,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4150006__Bstart,,B,A,victory,8,"1,1,CIRCLE | 2,2,CIRCLE | 1,2,SQUARE | 0,3,TRIANGLE",2.843289,4.295888,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed5160005__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.960737,3.563895,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed5160006__Bstart,,B,A,victory,10,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",2.840024,4.888789,5,5,154,185,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed6170005__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.959679,3.561056,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed6170006__Bstart,,B,A,victory,10,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",2.852527,4.888012,5,5,154,185,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed7180005__Astart,,A,A,victory,11,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 2,2,CIRCLE",3.956417,4.710533,6,5,205,153,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed7180006__Bstart,,B,A,victory,8,"1,1,CIRCLE | 2,2,CIRCLE | 1,2,SQUARE | 0,3,TRIANGLE",3.071267,4.523903,4,4,141,172,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed8190005__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",3.438974,3.911274,5,4,190,139,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed8190006__Bstart,,B,A,victory,8,"1,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,0,TRIANGLE",2.835827,4.295449,4,4,147,163,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed9200005__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.967219,3.569158,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__AlphaBeta+MCTS+__seed9200006__Bstart,,B,A,victory,10,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",2.841881,4.888487,5,5,154,185,0,0,0,0,0,1
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010007__Astart,,A,A,victory,11,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 2,2,CIRCLE",3.952146,4.710095,6,5,205,153,0,0,0,0,0,1
