game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
Génétique (éval AB)__vs__MCTS+__seed6170004__Bstart,,B,B,victory,7,"3,1,DIAMOND | 1,2,SQUARE | 0,0,TRIANGLE | 2,1,CIRCLE",7.327535,3.600820,3,4,118,167,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed7180003__Astart,,A,A,victory,11,"0,0,SQUARE | 2,3,TRIANGLE | 2,2,CIRCLE | 3,1,DIAMOND",4.827368,6.000522,6,5,184,149,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed7180004__Bstart,,B,B,victory,9,"3,3,CIRCLE | 1,1,SQUARE | 0,2,DIAMOND | 2,0,DIAMOND",8.345986,4.800781,4,5,130,188,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed8190003__Astart,,A,A,victory,9,"0,0,TRIANGLE | 2,1,DIAMOND | 1,2,DIAMOND | 3,3,CIRCLE",5.094063,4.800422,5,4,188,136,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed8190004__Bstart,,B,B,victory,9,"3,0,SQUARE | 1,2,DIAMOND | 2,3,CIRCLE | 2,1,TRIANGLE",8.352482,4.800532,4,5,139,173,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed9200003__Astart,,A,A,victory,11,"0,2,TRIANGLE | 2,2,SQUARE | 2,3,DIAMOND | 3,0,CIRCLE",4.518206,6.000611,6,5,194,150,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed9200004__Bstart,,B,B,victory,9,"1,3,DIAMOND | 2,2,CIRCLE | 3,2,SQUARE | 0,0,TRIANGLE",7.300482,4.800700,4,5,137,171,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1010005__Astart,,A,A,victory,11,"2,3,DIAMOND | 1,2,SQUARE | 1,1,TRIANGLE | 3,3,CIRCLE",5.304931,6.000449,6,5,183,132,1,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1010006__Bstart,,B,B,victory,9,"0,1,CIRCLE | 1,2,DIAMOND | 1,3,TRIANGLE | 3,0,SQUARE",8.245124,4.800575,4,5,137,171,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed2020005__Astart,,A,A,victory,9,"3,3,DIAMOND | 0,2,DIAMOND | 2,1,SQUARE | 1,0,TRIANGLE",4.701250,4.800495,5,4,192,133,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed2020006__Bstart,,B,B,victory,9,"2,0,CIRCLE | 1,1,SQUARE | 0,1,TRIANGLE | 3,3,DIAMOND",7.824046,4.800769,4,5,137,171,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed3030005__Astart,,A,A,victory,11,"1,2,CIRCLE | 2,0,TRIANGLE | 2,1,DIAMOND | 3,3,SQUARE",6.120503,6.000535,6,5,192,136,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed3030006__Bstart,,B,B,victory,11,"1,3,SQUARE | 2,1,TRIANGLE | 3,2,DIAMOND | 0,2,CIRCLE",9.172138,6.000689,5,6,133,188,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed4040005__Astart,,A,B,victory,8,"2,2,DIAMOND | 1,0,TRIANGLE | 0,3,CIRCLE | 0,2,SQUARE",4.207909,3.600397,4,4,164,138,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed4040006__Bstart,,B,B,victory,9,"2,0,DIAMOND | 1,2,DIAMOND | 3,3,TRIANGLE | 2,1,TRIANGLE",7.850744,4.800610,4,5,132,192,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed5050005__Astart,,A,A,victory,9,"2,0,DIAMOND | 1,1,SQUARE | 3,3,SQUARE | 0,2,TRIANGLE",5.158841,4.800475,5,4,184,128,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed5050006__Bstart,,B,B,victory,7,"2,1,DIAMOND | 1,2,DIAMOND | 3,3,TRIANGLE | 0,0,CIRCLE",7.537414,3.600525,3,4,117,173,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed6060005__Astart,,A,A,victory,9,"0,2,SQUARE | 2,0,SQUARE | 2,1,DIAMOND | 3,3,TRIANGLE",6.023139,4.800543,5,4,185,137,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed6060006__Bstart,,B,B,victory,7,"0,0,CIRCLE | 2,2,SQUARE | 1,3,SQUARE | 2,1,CIRCLE",9.585731,3.600673,3,4,117,176,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed7070005__Astart,,A,B,victory,10,"1,1,SQUARE | 0,3,CIRCLE | 2,2,DIAMOND | 1,0,TRIANGLE",5.776341,4.800447,5,5,184,134,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed7070006__Bstart,,B,B,victory,7,"3,0,SQUARE | 1,2,TRIANGLE | 0,1,CIRCLE | 2,1,DIAMOND",7.608181,3.600487,3,4,119,176,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed8080005__Astart,,A,A,victory,11,"3,1,CIRCLE | 1,0,DIAMOND | 2,2,TRIANGLE | 0,3,SQUARE",5.446869,6.000570,6,5,189,135,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed8080006__Bstart,,B,A,victory,10,"2,0,TRIANGLE | 1,1,SQUARE | 3,3,SQUARE | 0,3,TRIANGLE",8.811888,6.000495,5,5,150,181,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed9090005__Astart,,A,A,victory,9,"0,3,CIRCLE | 2,2,SQUARE | 1,1,TRIANGLE | 3,0,DIAMOND",5.936428,4.800400,5,4,188,136,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed9090006__Bstart,,B,B,victory,11,"3,0,CIRCLE | 2,2,SQUARE | 2,3,DIAMOND | 1,1,DIAMOND",8.646340,6.000789,5,6,129,186,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1120005__Astart,,A,A,victory,9,"0,1,TRIANGLE | 2,0,CIRCLE | 1,2,SQUARE | 3,3,DIAMOND",5.380047,4.807517,5,4,188,138,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1120006__Bstart,,B,A,victory,10,"3,3,CIRCLE | 1,1,TRIANGLE | 2,0,DIAMOND | 2,2,SQUARE",9.776635,6.000728,5,5,146,173,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed2130005__Astart,,A,A,victory,9,"1,3,TRIANGLE | 3,2,TRIANGLE | 2,1,SQUARE | 2,0,CIRCLE",5.693152,4.800671,5,4,186,137,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed2130006__Bstart,,B,B,victory,9,"3,2,CIRCLE | 1,1,SQUARE | 0,3,TRIANGLE | 2,2,TRIANGLE",9.221106,4.800567,4,5,134,184,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed3140005__Astart,,A,A,victory,9,"1,0,TRIANGLE | 0,3,DIAMOND | 2,2,CIRCLE | 3,2,SQUARE",4.824561,4.800415,5,4,183,129,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed3140006__Bstart,,B,B,victory,7,"0,2,SQUARE | 2,1,CIRCLE | 3,3,DIAMOND | 1,2,DIAMOND",8.183975,3.600662,3,4,118,177,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed4150005__Astart,,A,A,no_move,13,"2,3,SQUARE | 1,0,SQUARE | 1,1,DIAMOND | 0,2,CIRCLE",5.595752,7.200458,7,6,201,145,0,1,0,0,0,0
Génétique (éval AB)__vs__MCTS+__seed4150006__Bstart,,B,A,victory,10,"1,3,TRIANGLE | 2,1,SQUARE | 3,2,DIAMOND | 0,2,CIRCLE",8.024208,6.000598,5,5,146,173,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed5160005__Astart,,A,A,victory,11,"2,3,TRIANGLE | 3,0,SQUARE | 1,1,DIAMOND | 0,1,CIRCLE",4.466178,6.000470,6,5,185,148,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed5160006__Bstart,,B,B,victory,7,"0,3,CIRCLE | 2,1,SQUARE | 1,0,SQUARE | 3,2,TRIANGLE",8.381932,3.600674,3,4,117,174,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed6170005__Astart,,A,A,victory,9,"2,1,TRIANGLE | 0,0,CIRCLE | 1,2,CIRCLE | 3,1,DIAMOND",5.245894,4.800485,5,4,186,137,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed6170006__Bstart,,B,B,victory,9,"2,2,CIRCLE | 1,1,TRIANGLE | 3,0,DIAMOND | 3,3,SQUARE",9.588697,4.800676,4,5,139,177,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed7180005__Astart,,A,B,victory,10,"3,1,DIAMOND | 0,2,CIRCLE | 1,2,SQUARE | 2,3,TRIANGLE",4.539328,4.800426,5,5,186,137,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed7180006__Bstart,,B,B,victory,11,"1,2,TRIANGLE | 2,1,SQUARE | 0,0,CIRCLE | 3,3,DIAMOND",9.372121,6.000698,5,6,142,185,0,0,0,0,1,0
